station_uuid,original_station_id,latitude,longitude,station_name,city,zip_code_uuid
e3e70682-c209-4cac-629f-6fbed82c07cd,3005.0,34.0485,-118.258537,,Los Angeles,5bc8fbbc-bde5-c099-4164-d8399f767c45
f728b4fa-4248-5e3a-0a5d-2f346baa9455,3006.0,34.04554,-118.256668,,Los Angeles,5bc8fbbc-bde5-c099-4164-d8399f767c45
eb1167b3-67a9-c378-7c65-c1e582e2e662,3007.0,34.05048,-118.254593,,Los Angeles,d76d4330-f144-6bea-b0c1-1fdecb91ce37
f7c1bd87-4da5-e709-d471-3d60c8a70639,3008.0,34.046612,-118.262733,,Los Angeles,5bc8fbbc-bde5-c099-4164-d8399f767c45
e443df78-9558-867f-5ba9-1faf7a024204,3010.0,34.037048,-118.254868,,Los Angeles,87b0b125-ec1d-7da0-a6eb-8c9ebd69fe29
23a7711a-8133-2876-37eb-dcd9e87a1613,3011.0,34.04113,-118.267982,,Los Angeles,c6a53877-7733-0bdb-d721-0dff076ce2ef
1846d424-c17c-6279-23c6-612f48268673,3014.0,34.05661,-118.237213,,Los Angeles,0d464138-a623-3255-3fc1-ea36f17fd374
fcbd04c3-4021-2ef7-cca5-a5a19e4d6e3c,3016.0,34.052898,-118.241562,,Los Angeles,5f2dd97f-1cfb-10f6-2827-688de6a16a3b
b4862b21-fb97-d435-8856-1712e8e5216a,3018.0,34.043732,-118.260139,,Los Angeles,c6a53877-7733-0bdb-d721-0dff076ce2ef
259f4329-e6f4-590b-9a16-4106cf6a659e,3019.0,34.038609,-118.260857,,Los Angeles,c6a53877-7733-0bdb-d721-0dff076ce2ef
12e0c8b2-bad6-40fb-1948-8dec4f65d4d9,3020.0,34.031052,-118.26709,,Los Angeles,617959ce-3f1f-65a8-de52-71007814e8a2
5487ce1e-af19-922a-d9b8-a714e61a441c,3022.0,34.04607,-118.233093,,Los Angeles,5f2dd97f-1cfb-10f6-2827-688de6a16a3b
5a921187-19c7-8df4-8f4f-f31e78de5857,3024.0,34.05772,-118.24897,,Los Angeles,d76d4330-f144-6bea-b0c1-1fdecb91ce37
a3f2c9bf-9c63-16b9-50f2-44556f25e2a2,3025.0,34.03286,-118.268082,,Los Angeles,617959ce-3f1f-65a8-de52-71007814e8a2
8d723104-f773-83c1-3458-a748e9bb17bc,3026.0,34.063179,-118.24588,,Los Angeles,0d464138-a623-3255-3fc1-ea36f17fd374
85776e9a-dd84-f39e-7154-5a137a1d5006,3027.0,34.04998,-118.247162,,Los Angeles,d76d4330-f144-6bea-b0c1-1fdecb91ce37
eb2083e6-ce16-4dba-0ff1-8e0242af9fc3,3028.0,34.058319,-118.246094,,Los Angeles,0d464138-a623-3255-3fc1-ea36f17fd374
17e0aa3c-0398-3ca8-ea7e-9d498c778ea6,3030.0,34.051941,-118.24353,,Los Angeles,5f2dd97f-1cfb-10f6-2827-688de6a16a3b
b5d32b16-6619-4cb1-d710-37d1b83e90ec,3031.0,34.044701,-118.252441,,Los Angeles,87b0b125-ec1d-7da0-a6eb-8c9ebd69fe29
a0116be5-ab0c-1681-c8f8-e3d0d3290a4c,3032.0,34.049889,-118.255882,,Los Angeles,5bc8fbbc-bde5-c099-4164-d8399f767c45
d3fbf47a-7e5b-1e7f-9ca5-499d004ae545,3033.0,34.040989,-118.255798,,Los Angeles,c6a53877-7733-0bdb-d721-0dff076ce2ef
baf3897a-3e70-f16a-5548-5822de1b372a,3034.0,34.042061,-118.263382,,Los Angeles,c6a53877-7733-0bdb-d721-0dff076ce2ef
101fbccc-ded7-33e8-b421-eaeb534097ca,3035.0,34.048401,-118.260948,,Los Angeles,5bc8fbbc-bde5-c099-4164-d8399f767c45
38c1962e-9148-624f-eac1-c14f30e9c5cc,3036.0,34.039188,-118.232529,,Los Angeles,3fd42359-92ed-cf45-1a1a-fe878b33e968
247a8333-f7b0-b7d2-cda8-056c3d15eef7,3037.0,34.034801,-118.231277,,Los Angeles,3fd42359-92ed-cf45-1a1a-fe878b33e968
1759edc3-72ae-2244-8b01-63c1cd9d2b7d,3040.0,34.05357,-118.266357,,Los Angeles,5bc8fbbc-bde5-c099-4164-d8399f767c45
e005b860-51ef-1922-fe43-c49e149818d1,3042.0,34.049301,-118.238808,,Los Angeles,5f2dd97f-1cfb-10f6-2827-688de6a16a3b
7d41e602-eece-328b-ff7b-118e820865d6,3045.0,34.028511,-118.256668,,Los Angeles,617959ce-3f1f-65a8-de52-71007814e8a2
4a84eb03-8d1f-d9b7-4d2b-9deb1beb3711,3046.0,34.052872,-118.24749,,Los Angeles,d76d4330-f144-6bea-b0c1-1fdecb91ce37
552f233a-8c25-166a-1ff3-9849b4e1357d,3047.0,34.039982,-118.266403,,Los Angeles,c6a53877-7733-0bdb-d721-0dff076ce2ef
3405095c-8a50-06c1-ec18-8efbd080e66e,3048.0,34.041691,-118.235352,,Los Angeles,5f2dd97f-1cfb-10f6-2827-688de6a16a3b
8c1745a7-9a6a-5f92-cca7-4147f6be1f72,3049.0,34.056969,-118.253593,,Los Angeles,d76d4330-f144-6bea-b0c1-1fdecb91ce37
1775336d-71ea-cd05-49a3-e80e966e1277,3052.0,34.051102,-118.264557,,Los Angeles,5bc8fbbc-bde5-c099-4164-d8399f767c45
5129fb7c-6288-e1a5-cc45-782198a6416d,3054.0,34.039219,-118.236488,,Los Angeles,3fd42359-92ed-cf45-1a1a-fe878b33e968
2f120554-4a53-08cc-3dfa-bc08935ddd72,3056.0,34.03746,-118.265381,,Los Angeles,c6a53877-7733-0bdb-d721-0dff076ce2ef
0870e15c-2fcd-81b5-d24b-ace4307bf326,3058.0,34.035801,-118.23317,,Los Angeles,3fd42359-92ed-cf45-1a1a-fe878b33e968
42930b33-a81a-d477-fb36-75b89cdeb3e6,3062.0,34.047749,-118.243172,,Los Angeles,5f2dd97f-1cfb-10f6-2827-688de6a16a3b
adc0da7a-16fe-baa0-11af-923d79fdef7c,3063.0,34.048038,-118.253738,,Los Angeles,d76d4330-f144-6bea-b0c1-1fdecb91ce37
2648ee38-e074-05eb-2156-63abc1f254b8,3064.0,34.046131,-118.257591,,Los Angeles,5bc8fbbc-bde5-c099-4164-d8399f767c45
148b2758-d7ab-7928-09e4-69e6ec62b2c8,3065.0,34.060558,-118.238327,,Los Angeles,0d464138-a623-3255-3fc1-ea36f17fd374
d450fe4a-ec4f-217b-b306-d1a8e5eeac76,3066.0,34.063389,-118.23616,,Los Angeles,0d464138-a623-3255-3fc1-ea36f17fd374
d67e55fd-642b-fa42-aef9-c00b8a64c1b9,3068.0,34.0532,-118.250954,,Los Angeles,d76d4330-f144-6bea-b0c1-1fdecb91ce37
85940927-468f-f53d-864a-7a50b48d73f1,3069.0,34.05088,-118.248253,,Los Angeles,d76d4330-f144-6bea-b0c1-1fdecb91ce37
37176e84-d977-e993-3c49-d76fcfc6e625,3074.0,34.04417,-118.261169,,Los Angeles,c6a53877-7733-0bdb-d721-0dff076ce2ef
d3447490-96fd-35d0-adf2-0806e5214606,3075.0,34.04211,-118.256187,,Los Angeles,c6a53877-7733-0bdb-d721-0dff076ce2ef
46743741-9466-e472-6b5f-5241f323ca74,3076.0,34.0406,-118.253838,,Los Angeles,87b0b125-ec1d-7da0-a6eb-8c9ebd69fe29
a425799a-a905-d750-7e1e-a9c573581a81,3077.0,34.039871,-118.250038,,Los Angeles,87b0b125-ec1d-7da0-a6eb-8c9ebd69fe29
fb82860d-eabc-a8d0-b341-facdff0ac0f1,3078.0,34.064281,-118.238937,,Los Angeles,0d464138-a623-3255-3fc1-ea36f17fd374
5306f3f5-1516-6570-5b7c-709acb175a5a,3079.0,34.05014,-118.233192,,Los Angeles,5f2dd97f-1cfb-10f6-2827-688de6a16a3b
964a870c-7c87-9b74-1d87-8f9f9cdf5a86,3081.0,34.031891,-118.250183,,Los Angeles,87b0b125-ec1d-7da0-a6eb-8c9ebd69fe29
30bcab0e-d857-0102-55d4-4936a1515607,3082.0,34.04652,-118.237411,,Los Angeles,5f2dd97f-1cfb-10f6-2827-688de6a16a3b
