weather_uuid,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_7_to_28cm,wind_speed_100m,city
22f34dc8-8d6b-6b4f-67f4-238a67402d69,2023-01-01 09:00:00,9.8695,89.77773,8.2695,8.254322,0.0,0.0,0.0,0.0,0,1016.7,1009.8551,0.0,0.0,0.0,0.0,0.03801636,0.124646306,7.968939,8.5195,0.484,8.3695,0.487,16.595179,Washington D.C.
168e5087-af89-5f5b-9c2c-0ac2cda95957,2023-01-01 10:00:00,13.5205,73.97475,8.9705,12.033909,0.0,0.0,0.0,0.0,0,1008.1,997.11914,17.0,0.0,17.0,0.0,0.16920416,0.4037609,8.350138,13.1205,0.361,13.1205,0.251,11.013882,Los Angeles
29a52692-b5db-cd52-d3b0-6b933f4e10f8,2023-01-01 10:00:00,11.919499,83.82318,9.2695,10.944298,0.0,0.0,0.0,0.0,0,1017.0,1010.2021,0.0,0.0,0.0,0.0,0.1105633,0.22600567,5.3999996,9.669499,0.483,8.3695,0.487,16.981165,Washington D.C.
fd802060-55e8-b3eb-6cb9-185ed822e2f9,2023-01-01 11:00:00,14.6705,67.74285,8.7705,12.616373,0.0,0.0,0.0,0.0,1,1007.6,996.66846,26.0,12.0,15.0,0.0,0.22318791,0.5391228,11.874544,14.4205,0.356,13.2205,0.252,15.034041,Los Angeles
3f04eb05-85c6-139e-9076-28ac22791b3e,2023-01-01 11:00:00,13.6195,70.33442,8.3195,11.751013,0.0,0.0,0.0,0.0,0,1017.3,1010.54004,0.0,0.0,0.0,0.0,0.18167447,0.4632194,9.793059,10.7695,0.483,8.419499,0.487,14.277983,Washington D.C.
68f22599-ccdf-540b-5cb5-3ec017d7ab26,2023-01-01 12:00:00,15.6705,58.159733,7.4705,13.123133,0.0,0.0,0.0,0.0,1,1006.7,995.8157,22.0,5.0,20.0,0.0,0.25232205,0.7456794,12.979984,15.3205,0.351,13.3705,0.253,16.645864,Los Angeles
9ab0cf77-648f-b426-da1d-440678b0b698,2023-01-01 12:00:00,14.669499,62.8706,7.6695,12.57851,0.0,0.0,0.0,0.0,0,1016.9,1010.1675,6.0,0.0,0.0,6.0,0.22746168,0.62053764,10.1887,11.7195,0.482,8.5695,0.486,13.53236,Washington D.C.
b31a5bf3-71f9-70cf-401f-e4fcce06294d,2023-01-01 13:00:00,16.120499,50.98031,5.9705,12.789768,0.0,0.0,0.0,0.0,1,1005.8,994.94226,20.0,5.0,20.0,0.0,0.27649736,0.89912754,15.937878,15.920501,0.346,13.5205,0.253,20.65848,Los Angeles
29929889-06c7-cc91-2093-ca4dc4604bb4,2023-01-01 13:00:00,15.4695,58.708557,7.4195,13.690132,0.0,0.0,0.0,0.0,2,1016.4,1009.68945,75.0,0.0,0.0,75.0,0.24198571,0.7264954,7.628263,12.5195,0.481,8.7195,0.486,10.390226,Washington D.C.
b3642b19-3279-3637-c16c-f5c51801fd9a,2023-01-01 14:00:00,15.8205,52.14604,6.0205,12.430952,0.0,0.0,0.0,0.0,1,1006.0,995.12885,30.0,5.0,30.0,0.0,0.23820981,0.8611069,16.418526,15.9705,0.341,13.7205,0.254,21.203358,Los Angeles
